medium;HYP_LR_SR;Cross blended hypso with shaded relief;HYP_SR.png;http://naciscdn.org/naturalearth/10m/raster/HYP_LR_SR.zip
medium;HYP_LR_SR_W;Cross blended hypso with shaded relief and water;HYP_SR_W.png;http://naciscdn.org/naturalearth/10m/raster/HYP_LR_SR_W.zip
medium;HYP_LR_SR_W_DR;Cross blended hypso with shaded relief, water, and drainages;HYP_SR_W_DR.png;http://naciscdn.org/naturalearth/10m/raster/HYP_LR_SR_W_DR.zip
medium;HYP_LR_SR_OB_DR;Cross blended hypso with shaded relief, water, drainages, and ocean bottom;HYP_SR_OB_DR.png;http://naciscdn.org/naturalearth/10m/raster/HYP_LR_SR_OB_DR.zip
medium;NE1_LR_LC;Natural Earth I;NE1_LC.png;http://naciscdn.org/naturalearth/10m/raster/NE1_LR_LC.zip
medium;NE1_LR_LC_SR;Natural Earth I with shaded relief;NE1_LC_SR.png;http://naciscdn.org/naturalearth/10m/raster/NE1_LR_LC_SR.zip
medium;NE1_LR_LC_SR_W;Natural Earth I with shaded relief and water;NE1_LC_SR_W.png;http://naciscdn.org/naturalearth/10m/raster/NE1_LR_LC_SR_W.zip
medium;NE1_LR_LC_SR_W_DR;Natural Earth I with shaded relief, water, and drainages;NE1_LC_SR_W_DR.png;http://naciscdn.org/naturalearth/10m/raster/NE1_LR_LC_SR_W_DR.zip
medium;NE2_LR_LC;Natural Earth II;NE2_LC.png;http://naciscdn.org/naturalearth/10m/raster/NE2_LR_LC.zip
medium;NE2_LR_LC_SR;Natural Earth II with shaded relief;NE2_LC_SR.png;http://naciscdn.org/naturalearth/10m/raster/NE2_LR_LC_SR.zip
medium;NE2_LR_LC_SR_W;Natural Earth II with shaded relief and water;NE2_LC_SR_W.png;http://naciscdn.org/naturalearth/10m/raster/NE2_LR_LC_SR_W.zip
medium;NE2_LR_LC_SR_W_DR;Natural Earth II with shaded relief, water, and drainages;NE2_LC_SR_W_DR.png;http://naciscdn.org/naturalearth/10m/raster/NE2_LR_LC_SR_W_DR.zip
medium;OB_LR;Ocean bottom;OB.png;http://naciscdn.org/naturalearth/10m/raster/OB_LR.zip
medium;SR_LR;Shaded relief basic;SR.png;http://naciscdn.org/naturalearth/10m/raster/SR_LR.zip
